628673; 2; percentage1; 48.6; 51.0
39531; 57; turnout; 52.8; 50.2
39531; 58; turnout; 52.8; 50.2
39531; 59; turnout; 52.8; 50.2
39531; 60; turnout; 52.8; 50.2
39531; 61; turnout; 52.8; 50.2
40402; 2; electoral_vote1; 185; 184
40402; 2; popular_vote1; 4033497; 4288546
40402; 2; percentage1; 48.0; 51.0
40402; 2; electoral_vote2; 184; 185
40402; 2; popular_vote2; 4288191; 4034311
40402; 2; percentage2; 51.0; 47.9
40402; 5; electoral_vote1; 185; 178
40402; 5; electoral_vote2; 184; 191
40402; 6; electoral_vote1; 185; 191
40402; 6; popular_vote1; 4033497; 4288546
40402; 6; percentage1; 48.0; 51.0
40402; 6; electoral_vote2; 184; 178
40402; 6; popular_vote2; 4288191; 4034311
40402; 6; percentage2; 51.0; 47.9
40402; 9; electoral_vote1; 185; 178
40402; 9; electoral_vote2; 184; 191
40402; 10; electoral_vote1; 185; 191
40402; 10; popular_vote1; 4033497; 4288546
40402; 10; percentage1; 48.0; 51.0
40402; 10; electoral_vote2; 184; 178
40402; 10; popular_vote2; 4288191; 4034311
40402; 10; percentage2; 51.0; 47.9
40402; 11; electoral_vote1; 185; 184
40402; 11; popular_vote1; 4033497; 4288546
40402; 11; percentage1; 48.0; 51.0
40402; 11; electoral_vote2; 184; 185
40402; 11; popular_vote2; 4288191; 4034311
40402; 11; percentage2; 51.0; 47.9
40402; 13; electoral_vote1; 185; 178
40402; 13; electoral_vote2; 184; 191
40402; 14; electoral_vote1; 185; 191
40402; 14; popular_vote1; 4033497; 4288546
40402; 14; percentage1; 48.0; 51.0
40402; 14; electoral_vote2; 184; 178
40402; 14; popular_vote2; 4288191; 4034311
40402; 14; percentage2; 51.0; 47.9
40402; 15; electoral_vote1; 185; 184
40402; 15; popular_vote1; 4033497; 4288546
40402; 15; percentage1; 48.0; 51.0
40402; 15; electoral_vote2; 184; 185
40402; 15; popular_vote2; 4288191; 4034311
40402; 15; percentage2; 51.0; 47.9
40402; 16; electoral_vote1; 185; 184
40402; 16; popular_vote1; 4033497; 4288546
40402; 16; percentage1; 48.0; 51.0
40402; 16; electoral_vote2; 184; 185
40402; 16; popular_vote2; 4288191; 4034311
40402; 16; percentage2; 51.0; 47.9
40402; 17; electoral_vote1; 185; 184
40402; 17; popular_vote1; 4033497; 4288546
40402; 17; percentage1; 48.0; 51.0
40402; 17; electoral_vote2; 184; 185
40402; 17; popular_vote2; 4288191; 4034311
40402; 17; percentage2; 51.0; 47.9
40402; 25; electoral_vote1; 185; 165
40402; 27; electoral_vote1; 185; 178
40402; 27; electoral_vote2; 184; 191
40402; 28; electoral_vote1; 185; 178
40402; 28; electoral_vote2; 184; 191
40402; 30; electoral_vote1; 185; 178
40402; 30; electoral_vote2; 184; 191
40402; 32; electoral_vote1; 185; 178
40402; 32; electoral_vote2; 184; 191
40402; 34; electoral_vote1; 185; 178
40402; 34; electoral_vote2; 184; 191
40402; 39; percentage1; 48.0; 50.0
40402; 46; electoral_vote1; 185; 165
40402; 46; electoral_vote2; 184; 204
40402; 51; type; presidential; trump vs  clinton
40402; 55; electoral_vote2; 184; 203
40510; 26; votes_for_election; 261; 30000000
40510; 34; electoral_vote2; 83; 87
40510; 38; electoral_vote2; 83; 83444
40510; 40; type; presidential; judge
40511; 15; turnout; 57.0; 55.4
40511; 16; turnout; 57.0; 55.4
40511; 17; turnout; 57.0; 55.4
40511; 18; turnout; 57.0; 55.4
40511; 19; turnout; 57.0; 55.4
40511; 20; turnout; 57.0; 55.4
40511; 21; turnout; 57.0; 55.4
40512; 19; type; presidential; presidential election
40513; 9; type; presidential; Zebra
40514; 17; type; presidential; gaysidential
40515; 3; popular_vote2; 1223460; 78
40515; 17; needed_votes; 146; 145
40515; 18; needed_votes; 146; 145
40515; 19; needed_votes; 146; 145
40515; 20; needed_votes; 146; 145
40515; 22; popular_vote1; 1361393; 136139314142
40515; 26; popular_vote1; 1361393; 1652894
40515; 27; popular_vote1; 1361393; 1652894
40515; 27; percentage1; 47.3; 57.4
40516; 19; type; presidential; Blue
40517; 2; type; presidential; hi
40517; 19; electoral_vote1; 174; 5000
40517; 19; electoral_vote2; 114; 200
40517; 19; popular_vote2; 1342345; 200
40517; 28; votes_for_election; 296; 538
40517; 28; needed_votes; 149; 270
40517; 28; turnout; 79.4; 55.3
40517; 28; electoral_vote1; 174; 304
40517; 28; popular_vote1; 1836072; 62979636
40517; 28; electoral_vote2; 114; 227
40517; 28; popular_vote2; 1342345; 65844610
40517; 28; percentage2; 33.1; 48.05
40517; 29; type; presidential; presidential porn
40517; 29; votes_for_election; 296; 538
40517; 29; needed_votes; 149; 270
40517; 29; turnout; 79.4; 55.3
40517; 29; electoral_vote1; 174; 304
40517; 29; popular_vote1; 1836072; 62979636
40517; 29; electoral_vote2; 114; 227
40517; 29; popular_vote2; 1342345; 65844610
40517; 29; percentage2; 33.1; 48.05
40517; 30; votes_for_election; 296; 538
40517; 30; needed_votes; 149; 270
40517; 30; turnout; 79.4; 55.3
40517; 30; electoral_vote1; 174; 304
40517; 30; popular_vote1; 1836072; 62979636
40517; 30; electoral_vote2; 114; 227
40517; 30; popular_vote2; 1342345; 65844610
40517; 30; percentage2; 33.1; 48.05
40517; 31; type; presidential; presidential pornhub
40517; 31; votes_for_election; 296; 538
40517; 31; needed_votes; 149; 270
40517; 31; turnout; 79.4; 55.3
40517; 31; electoral_vote1; 174; 304
40517; 31; popular_vote1; 1836072; 62979636
40517; 31; electoral_vote2; 114; 227
40517; 31; popular_vote2; 1342345; 65844610
40517; 31; percentage2; 33.1; 48.05
40517; 32; votes_for_election; 296; 538
40517; 32; needed_votes; 149; 270
40517; 32; turnout; 79.4; 55.3
40517; 32; electoral_vote1; 174; 304
40517; 32; popular_vote1; 1836072; 62979636
40517; 32; electoral_vote2; 114; 227
40517; 32; popular_vote2; 1342345; 65844610
40517; 32; percentage2; 33.1; 48.05
40519; 27; type; presidential; presidential fuck
40519; 30; type; presidential; presidentiap
40519; 32; type; presidential; porno
40519; 34; popular_vote1; 1867198; 0
40519; 59; electoral_vote1; 180; -67
40519; 59; electoral_vote2; 72; 6
40519; 59; popular_vote2; 854248; 666
40519; 62; percentage1; 39.8; 100.0
40519; 66; type; presidential; presidential sex
40519; 74; electoral_vote2; 72; 69
40519; 76; electoral_vote1; 180; 666
40519; 81; electoral_vote2; 72; 12
40519; 81; popular_vote2; 854248; 1380201
40519; 81; percentage2; 18.2; 29.5
40519; 83; electoral_vote2; 72; 12
40519; 83; popular_vote2; 854248; 1380201
40519; 83; percentage2; 18.2; 29.5
40519; 86; popular_vote2; 854248; 669148
40519; 86; percentage2; 18.2; 14.3
40519; 87; electoral_vote1; 180; 76
40519; 87; popular_vote2; 854248; 669148
40519; 87; percentage2; 18.2; 14.3
40519; 88; popular_vote2; 854248; 669148
40519; 88; percentage2; 18.2; 14.3
40519; 89; electoral_vote2; 72; 12
40519; 89; popular_vote2; 854248; 1380202
40519; 89; percentage2; 18.2; 29.5
40519; 90; electoral_vote2; 72; 12
40519; 90; popular_vote2; 854248; 1380202
40519; 90; percentage2; 18.2; 29.5
40519; 91; electoral_vote2; 72; 12
40519; 91; popular_vote2; 854248; 1380202
40519; 91; percentage2; 18.2; 29.5
40519; 92; type; presidential; presidential,sdFGEHYRTHGSDFGDSBSDFHHRGHSDFBG
40519; 92; electoral_vote2; 72; 12
40519; 92; popular_vote2; 854248; 1380202
40519; 92; percentage2; 18.2; 29.5
40519; 93; electoral_vote2; 72; 12
40519; 93; popular_vote2; 854248; 1380202
40519; 93; percentage2; 18.2; 29.5
40519; 94; electoral_vote2; 72; 12
40519; 94; popular_vote2; 854248; 1380202
40519; 94; percentage2; 18.2; 29.5
40519; 95; electoral_vote2; 72; 12
40519; 95; popular_vote2; 854248; 1380202
40519; 95; percentage2; 18.2; 29.5
40519; 96; electoral_vote2; 72; 12
40519; 96; popular_vote2; 854248; 1380202
40519; 96; percentage2; 18.2; 29.5
40519; 97; electoral_vote2; 72; 12
40519; 97; popular_vote2; 854248; 1380202
40519; 97; percentage2; 18.2; 29.5
40519; 98; electoral_vote2; 72; 12
40519; 98; popular_vote2; 854248; 1380202
40519; 98; percentage2; 18.2; 29.5
40519; 99; electoral_vote2; 72; 12
40519; 99; popular_vote2; 854248; 1380202
40519; 99; percentage2; 18.2; 29.5
40519; 100; electoral_vote2; 72; 12
40519; 100; popular_vote2; 854248; 1380202
40519; 100; percentage2; 18.2; 29.5
40519; 101; electoral_vote2; 72; 12
40519; 101; popular_vote2; 854248; 1380202
40519; 101; percentage2; 18.2; 29.5
40519; 102; electoral_vote2; 72; 12
40519; 102; popular_vote2; 854248; 1380202
40519; 102; percentage2; 18.2; 29.5
40519; 103; electoral_vote2; 72; 12
40519; 103; popular_vote2; 854248; 1380202
40519; 103; percentage2; 18.2; 29.5
40519; 104; electoral_vote2; 72; 12
40519; 104; popular_vote2; 854248; 1380202
40519; 104; percentage2; 18.2; 29.5
40519; 105; electoral_vote2; 72; 12
40519; 105; popular_vote2; 854248; 1380202
40519; 105; percentage2; 18.2; 29.5
40519; 106; electoral_vote2; 72; 12
40519; 106; popular_vote2; 854248; 1380202
40519; 106; percentage2; 18.2; 29.5
40519; 107; electoral_vote2; 72; 12
40519; 107; popular_vote2; 854248; 1380202
40519; 107; percentage2; 18.2; 29.5
40519; 108; electoral_vote2; 72; 12
40519; 108; popular_vote2; 854248; 1380202
40519; 108; percentage2; 18.2; 29.5
40519; 109; type; presidential; prime minister
40519; 109; electoral_vote2; 72; 12
40519; 109; popular_vote2; 854248; 1380202
40519; 109; percentage2; 18.2; 29.5
40519; 110; electoral_vote2; 72; 12
40519; 110; popular_vote2; 854248; 1380202
40519; 110; percentage2; 18.2; 29.5
40519; 111; electoral_vote2; 72; 12
40519; 111; popular_vote2; 854248; 1380202
40519; 111; percentage2; 18.2; 29.5
40519; 112; electoral_vote2; 72; 12
40519; 112; popular_vote2; 854248; 1380202
40519; 112; percentage2; 18.2; 29.5
40519; 113; electoral_vote2; 72; 12
40519; 113; popular_vote2; 854248; 1380202
40519; 113; percentage2; 18.2; 29.5
40519; 114; electoral_vote2; 72; 12
40519; 114; popular_vote2; 854248; 1380202
40519; 114; percentage2; 18.2; 29.5
40519; 115; electoral_vote2; 72; 12
40519; 115; popular_vote2; 854248; 1380202
40519; 115; percentage2; 18.2; 29.5
40519; 116; electoral_vote2; 72; 12
40519; 116; popular_vote2; 854248; 1380202
40519; 116; percentage2; 18.2; 29.5
40519; 117; type; presidential; Derp
40519; 117; electoral_vote2; 72; 12
40519; 117; popular_vote2; 854248; 1380202
40519; 117; percentage2; 18.2; 29.5
40519; 118; electoral_vote2; 72; 12
40519; 118; popular_vote2; 854248; 1380202
40519; 118; percentage2; 18.2; 29.5
40519; 119; electoral_vote2; 72; 12
40519; 119; popular_vote2; 854248; 1380202
40519; 119; percentage2; 18.2; 29.5
40519; 121; percentage1; 39.8; 56.5
40519; 122; percentage1; 39.8; 56.5
40519; 122; percentage2; 18.2; 25.7
40519; 127; electoral_vote2; 72; 12
40519; 127; popular_vote2; 854248; 1380202
40519; 127; percentage2; 18.2; 29.5
40519; 128; electoral_vote2; 72; 12
40519; 128; popular_vote2; 854248; 1380202
40519; 128; percentage2; 18.2; 29.5
40519; 129; electoral_vote2; 72; 12
40519; 129; popular_vote2; 854248; 1380202
40519; 129; percentage2; 18.2; 29.5
40519; 136; type; presidential; presidentidwweal,sdjfjdfhsjfedfongoing = no
40519; 140; electoral_vote2; 72; 12
40519; 140; popular_vote2; 854248; 1380202
40519; 141; electoral_vote2; 72; 12
40519; 141; popular_vote2; 854248; 1380202
40519; 141; percentage2; 18.2; 29.5
40519; 142; type; presidential; stupid
40519; 142; electoral_vote2; 72; 12
40519; 142; popular_vote2; 854248; 1380202
40519; 142; percentage2; 18.2; 29.5
40519; 143; type; presidential; STUPID!!!!!!!!!
40519; 143; electoral_vote2; 72; 12
40519; 143; popular_vote2; 854248; 1380202
40519; 143; percentage2; 18.2; 29.5
40519; 144; electoral_vote2; 72; 12
40519; 144; popular_vote2; 854248; 1380202
40519; 144; percentage2; 18.2; 29.5
40519; 149; type; presidential; pimp
40519; 154; percentage2; 18.2; 76.9
40519; 158; percentage1; 39.8; 51.6
40519; 159; percentage1; 39.8; 99.6
40520; 2; electoral_vote2; 21; 29
40520; 6; electoral_vote1; 212; 2120
40520; 8; type; presidential; dirty
40520; 10; percentage2; 44.9; 99.0
40520; 12; type; presidential; poopy
40520; 14; type; presidential; poopy
40520; 29; electoral_vote2; 21; 24
40520; 30; electoral_vote2; 21; 24
40520; 34; electoral_vote2; 21; 24
40520; 35; electoral_vote2; 21; 13
40520; 35; popular_vote2; 1809445; 1225110
40520; 35; percentage2; 44.9; 10.0
40520; 36; electoral_vote2; 21; 24
40520; 37; electoral_vote2; 21; 24
40520; 38; electoral_vote2; 21; 24
40520; 39; electoral_vote2; 21; 24
40520; 44; electoral_vote2; 21; 24
40520; 46; electoral_vote2; 21; 24
40520; 48; electoral_vote2; 21; 24
40520; 50; electoral_vote2; 21; 210
40520; 52; electoral_vote2; 21; 25
40520; 52; popular_vote2; 1809445; 3812807
40520; 53; popular_vote2; 1809445; 3812807
40520; 54; electoral_vote1; 212; 2512
40520; 54; popular_vote1; 2220846; 22148388
40520; 54; popular_vote2; 1809445; 3812807
40520; 63; turnout; 76.3; 73.8
40520; 64; turnout; 76.3; 73.8
40520; 65; turnout; 76.3; 73.8
40520; 66; turnout; 76.3; 73.8
40520; 67; turnout; 76.3; 73.8
40520; 68; turnout; 76.3; 73.8
40520; 69; turnout; 76.3; 73.8
40520; 70; turnout; 76.3; 73.8
40520; 70; electoral_vote1; 212; 213
40520; 71; turnout; 76.3; 73.8
40520; 72; turnout; 76.3; 73.8
40520; 73; turnout; 76.3; 73.8
40520; 73; popular_vote1; 2220846; 6969696969696969
40520; 73; percentage1; 55.1; 69.0
40520; 73; electoral_vote2; 21; 0
40520; 73; popular_vote2; 1809445; 0
40520; 73; percentage2; 44.9; 0.0
40520; 74; turnout; 76.3; 73.8
40520; 75; needed_votes; 117; 118
40520; 75; turnout; 76.3; 73.8
40520; 76; needed_votes; 117; 118
40520; 76; turnout; 76.3; 73.8
40520; 77; needed_votes; 117; 118
40520; 77; turnout; 76.3; 73.8
40520; 78; needed_votes; 117; 118
40520; 78; turnout; 76.3; 73.8
40520; 79; needed_votes; 117; 118
40520; 79; turnout; 76.3; 73.8
40520; 79; percentage2; 44.9; 200.6
40520; 80; needed_votes; 117; 118
40520; 80; turnout; 76.3; 73.8
40521; 23; turnout; 80.9; 78.1
40521; 24; turnout; 80.9; 78.1
40521; 25; turnout; 80.9; 78.1
40521; 26; turnout; 80.9; 78.1
40521; 27; turnout; 80.9; 78.1
40525; 27; turnout; 80.5; 78.0
40525; 28; turnout; 80.5; 78.0
40525; 29; turnout; 80.5; 78.0
40525; 30; turnout; 80.5; 78.0
40525; 31; turnout; 80.5; 78.0
40525; 32; turnout; 80.5; 78.0
40525; 33; turnout; 80.5; 78.0
40525; 34; turnout; 80.5; 78.0
40525; 35; turnout; 80.5; 78.0
40525; 36; turnout; 80.5; 78.0
40525; 37; turnout; 80.5; 78.0
40525; 38; turnout; 80.5; 78.0
40525; 39; turnout; 80.5; 78.0
40525; 40; turnout; 80.5; 78.0
40525; 41; turnout; 80.5; 78.0
40525; 42; turnout; 80.5; 78.0
40525; 43; turnout; 80.5; 78.0
40525; 44; turnout; 80.5; 78.0
40525; 45; turnout; 80.5; 78.0
40525; 46; turnout; 80.5; 78.0
40525; 47; turnout; 80.5; 78.0
40525; 48; turnout; 80.5; 78.0
40525; 49; turnout; 80.5; 78.0
40525; 50; turnout; 80.5; 78.0
40525; 51; turnout; 80.5; 78.0
40525; 52; turnout; 80.5; 78.0
40525; 53; turnout; 80.5; 78.0
40525; 53; electoral_vote2; 155; 0
40525; 54; turnout; 80.5; 78.0
40525; 55; turnout; 80.5; 78.0
40525; 55; electoral_vote1; 214; 2004
40525; 56; turnout; 80.5; 78.0
40527; 3; electoral_vote1; 233; 168
40527; 3; electoral_vote2; 168; 233
40527; 16; votes_for_election; 401; 999
40528; 3; popular_vote2; 5186793; 5176108000000
40529; 13; type; presidential; senatorial
40529; 16; percentage2; 45.8; 47.7
40529; 17; percentage2; 45.8; 47.7
40529; 18; percentage2; 45.8; 47.7
40529; 20; percentage2; 45.8; 22.7
40529; 30; type; presidential; Alexis
40529; 32; type; presidential; Tiffany
40531; 3; electoral_vote1; 292; 153
40531; 3; popular_vote1; 7219193; 5228864
40531; 3; percentage1; 51.7; 31.6
40531; 3; electoral_vote2; 155; 294
40531; 3; popular_vote2; 6357698; 8370932
40531; 3; percentage2; 45.5; 68.4
40531; 27; popular_vote2; 6357698; 900
40532; 22; type; presidential; senator
40532; 27; electoral_vote2; 140; 482740
40533; 1; electoral_vote1; 321; 162
40533; 1; popular_vote1; 7676598; 6408984
40533; 1; percentage1; 51.6; 43.0
40533; 1; electoral_vote2; 162; 321
40533; 1; popular_vote2; 6406874; 7678395
40533; 1; percentage2; 43.0; 51.6
40534; 1; electoral_vote2; 88; 8
40534; 1; popular_vote2; 4120207; 3486242
40534; 1; percentage2; 27.4; 23.2
40534; 3; electoral_vote1; 435; 427
40534; 3; percentage1; 41.8; 33.2
40534; 3; electoral_vote2; 88; 117
40534; 3; popular_vote2; 4120207; 4998875
40534; 3; percentage2; 27.4; 29.6
40534; 4; electoral_vote1; 435; 427
40534; 4; percentage1; 41.8; 33.2
40534; 4; popular_vote2; 4120207; 4998875
40534; 4; percentage2; 27.4; 29.6
40534; 5; percentage1; 41.8; 33.2
40534; 5; popular_vote2; 4120207; 4998875
40534; 5; percentage2; 27.4; 29.6
40534; 6; percentage1; 41.8; 33.2
40534; 6; popular_vote2; 4120207; 4998875
40534; 6; percentage2; 27.4; 29.5
40534; 15; percentage1; 41.8; 77.7
40534; 34; popular_vote1; 6294327; 6296254657
40534; 36; electoral_vote1; 435; 0
40534; 36; popular_vote1; 6294327; 901551
40534; 41; popular_vote1; 6294327; 2568885163123
40534; 41; percentage1; 41.8; 12177.0
40534; 43; type; presidential; heterosexual
40534; 43; electoral_vote1; 435; 69
40534; 43; popular_vote1; 6294327; 69
40534; 43; percentage1; 41.8; 69.0
40534; 47; percentage1; 41.8; 39.8
40534; 55; electoral_vote2; 88; 8
40534; 55; popular_vote2; 4120207; 3486242
40534; 55; percentage2; 27.4; 23.2
40534; 57; type; presidential; porn ongoing = no
40534; 62; electoral_vote1; 435; 266
40534; 62; popular_vote1; 6294327; 6877317
40534; 62; percentage1; 41.8; 45.7
40534; 62; electoral_vote2; 88; 265
40534; 62; popular_vote2; 4120207; 6696731
40534; 62; percentage2; 27.4; 44.5
40534; 64; votes_for_election; 531; 532
40534; 65; votes_for_election; 531; 532
40534; 66; votes_for_election; 531; 532
40535; 1; electoral_vote1; 277; 254
40535; 1; popular_vote1; 9126063; 8548728
40535; 1; percentage1; 49.2; 46.1
40535; 1; electoral_vote2; 254; 277
40535; 1; popular_vote2; 8547030; 9126868
40535; 1; percentage2; 46.1; 49.2
40535; 19; popular_vote1; 9126063; 0
40535; 28; electoral_vote1; 277; 254
40535; 28; popular_vote1; 9126063; 8548728
40535; 28; percentage1; 49.2; 46.1
40535; 28; electoral_vote2; 254; 277
40535; 28; popular_vote2; 8547030; 9126868
40535; 28; percentage2; 46.1; 49.2
40536; 3; percentage1; 60.3; 1.0
40536; 46; type; presidential; CHICKEN
40537; 2; popular_vote2; 8386532; 4831706
40537; 4; type; presidential; rassberry means my butt
40537; 25; electoral_vote1; 382; 274
40537; 25; popular_vote1; 15724310; 7516219
40537; 25; percentage1; 54.0; 25.8
40537; 25; electoral_vote2; 136; 143
40537; 25; popular_vote2; 8386532; 13291870
40537; 25; percentage2; 28.8; 45.7
40538; 2; popular_vote1; 21432823; 1
40538; 2; percentage2; 40.8; 105.54
40538; 20; electoral_vote2; 87; 4
40538; 28; electoral_vote1; 444; 44
40538; 28; popular_vote1; 21432823; 1427123
40538; 35; type; presidential; dab
40556; 2; type; presidential; mayor
40556; 2; electoral_vote1; 472; 1472
40556; 4; electoral_vote1; 472; 1245
40556; 29; electoral_vote1; 472; 892
40556; 29; percentage1; 57.4; 71.09
40556; 29; electoral_vote2; 59; 5
40556; 29; percentage2; 39.6; 21.0
40556; 31; type; presidential; presidentil
40556; 37; percentage2; 39.6; 47.0
40556; 41; type; presidential; presidential not
40556; 47; electoral_vote1; 472; 261
40556; 47; percentage1; 57.4; 45.9
40556; 47; electoral_vote2; 59; 270
40556; 47; percentage2; 39.6; 55.5
40556; 49; turnout; 56.9; 66.9
40556; 51; type; presidential; chicken
40556; 53; needed_votes; 266; 267
40560; 21; votes_for_election; 531; 530
40562; 21; electoral_vote1; 303; 189
40562; 21; popular_vote1; 24105810; 21991292
40562; 21; percentage1; 49.5; 45.1
40562; 21; electoral_vote2; 189; 303
40562; 21; popular_vote2; 21970064; 24179347
40562; 21; percentage2; 45.1; 49.6
40562; 28; electoral_vote1; 303; 308
40562; 28; electoral_vote2; 189; 176
40562; 38; electoral_vote1; 303; 0
40562; 38; popular_vote1; 24105810; 0
40562; 38; percentage1; 49.5; 46.0
40562; 38; electoral_vote2; 189; 0
40562; 38; popular_vote2; 21970064; 0
40562; 38; percentage2; 45.1; 0.0
40562; 39; electoral_vote1; 303; 0
40562; 39; popular_vote1; 24105810; 0
40562; 39; percentage1; 49.5; 46.0
40562; 39; electoral_vote2; 189; 0
40562; 39; popular_vote2; 21970064; 0
40562; 40; electoral_vote1; 303; 270
40562; 40; popular_vote1; 24105810; 0
40562; 40; percentage1; 49.5; 46.0
40562; 40; electoral_vote2; 189; 223
40562; 40; popular_vote2; 21970064; 0
40562; 50; electoral_vote2; 189; 39
40562; 50; popular_vote2; 21970064; 1175930
40562; 50; percentage2; 45.1; 2.41
40562; 51; popular_vote2; 21970064; 27375090
40563; 5; electoral_vote1; 442; 1
40563; 21; electoral_vote1; 442; 42
40563; 28; needed_votes; 266; 270
40563; 30; type; presidential; ass
40564; 19; electoral_vote2; 73; 12
40564; 19; popular_vote2; 26022752; 12000
40564; 19; percentage2; 42.0; 8.0
40564; 32; type; presidential; presidential BoBby
40565; 2; electoral_vote2; 219; 302
40565; 5; electoral_vote1; 303; 15
40565; 9; electoral_vote2; 219; 15
40565; 9; percentage2; 49.5; 0.4
40565; 12; electoral_vote1; 303; 219
40565; 12; electoral_vote2; 219; 303
40565; 13; electoral_vote1; 303; 219
40565; 13; electoral_vote2; 219; 303
40565; 14; electoral_vote1; 303; 8
40565; 14; electoral_vote2; 219; 303
40565; 22; electoral_vote1; 303; 69
40565; 31; electoral_vote2; 219; 508
40565; 40; electoral_vote2; 219; 15
40565; 40; popular_vote2; 34108157; 116256
40565; 40; percentage2; 49.5; 1.7
40565; 43; electoral_vote2; 219; 15
40565; 43; popular_vote2; 34108157; 115256
40565; 43; percentage2; 49.5; 2.7
40565; 46; electoral_vote1; 303; 100
40565; 46; electoral_vote2; 219; 400
40565; 69; percentage2; 49.5; 4.8
40565; 71; electoral_vote1; 303; 304
40565; 73; type; presidential; presidential fuck yhu
40565; 78; type; presidential; presidential jon cline is an awesome beast
40565; 80; electoral_vote1; 303; 900
40565; 85; percentage1; 49.7; 56.7
40565; 89; type; presidential; Penis
40565; 92; electoral_vote2; 219; 15
40565; 92; popular_vote2; 34108157; 286359
40565; 92; percentage2; 49.5; 0.42
40565; 106; type; presidential; rob walll
40565; 113; votes_for_election; 537; 538
40565; 113; needed_votes; 269; 270
40565; 115; votes_for_election; 537; 538
40565; 115; needed_votes; 269; 270
40565; 122; type; presidential; presidAJB
40565; 129; electoral_vote1; 303; 307
40565; 129; electoral_vote2; 219; 230
40565; 130; electoral_vote1; 303; 307
40565; 130; electoral_vote2; 219; 230
40565; 133; electoral_vote1; 303; 21
40565; 135; electoral_vote1; 303; 21
40565; 138; electoral_vote2; 219; 246
40566; 2; type; presidential; presidentialss
40566; 18; electoral_vote2; 52; 48
40566; 32; type; presidential; doggy butt!!
40566; 45; type; presidential; presidential &k 6767
40566; 47; votes_for_election; 538; 522
40566; 49; percentage1; 61.1; 90.3
40566; 49; percentage2; 38.5; 10.2
40566; 51; electoral_vote1; 486; 52
40566; 51; popular_vote1; 43129566; 27175754
40566; 51; percentage1; 61.1; 38.5
40566; 51; electoral_vote2; 52; 486
40566; 51; popular_vote2; 27178188; 43127041
40566; 51; percentage2; 38.5; 61.1
40566; 57; electoral_vote1; 486; 537
40566; 57; percentage1; 61.1; 91.1
40566; 57; electoral_vote2; 52; 1
40567; 1; percentage2; 13.5; 42.7
40567; 2; type; presidential; sexual
40567; 2; percentage2; 13.5; 42.7
40567; 3; percentage2; 13.5; 42.7
40567; 4; percentage2; 13.5; 42.7
40567; 5; percentage2; 13.5; 42.7
40567; 6; percentage2; 13.5; 42.7
40567; 7; percentage2; 13.5; 42.7
40567; 8; percentage2; 13.5; 42.7
40567; 9; percentage2; 13.5; 42.7
40567; 10; percentage2; 13.5; 42.7
40567; 11; percentage2; 13.5; 42.7
40567; 12; electoral_vote1; 301; 46
40567; 12; electoral_vote2; 191; 301
40567; 12; percentage2; 13.5; 43.7
40567; 13; percentage2; 13.5; 42.7
40567; 14; percentage2; 13.5; 42.7
40567; 15; percentage2; 13.5; 42.7
40567; 16; percentage2; 13.5; 42.7
40567; 17; percentage2; 13.5; 42.7
40567; 18; electoral_vote1; 301; 191
40567; 18; percentage2; 13.5; 42.7
40567; 19; percentage2; 13.5; 42.7
40567; 20; percentage2; 13.5; 42.7
40567; 21; percentage2; 13.5; 42.7
40567; 22; percentage2; 13.5; 42.7
40567; 23; percentage2; 13.5; 42.7
40567; 24; percentage2; 13.5; 42.7
40567; 25; percentage2; 13.5; 42.7
40567; 26; percentage2; 13.5; 42.7
40567; 27; percentage2; 13.5; 42.7
40567; 28; percentage2; 13.5; 42.7
40567; 29; percentage2; 13.5; 42.7
40567; 30; percentage2; 13.5; 42.7
40567; 31; percentage2; 13.5; 42.7
40567; 32; percentage2; 13.5; 42.7
40567; 33; percentage2; 13.5; 42.7
40567; 34; percentage2; 13.5; 42.7
40567; 35; percentage2; 13.5; 42.7
40567; 36; percentage2; 13.5; 42.7
40567; 37; percentage2; 13.5; 42.7
40567; 38; percentage2; 13.5; 42.7
40567; 39; percentage2; 13.5; 42.7
40567; 40; percentage2; 13.5; 42.7
40567; 41; percentage2; 13.5; 42.7
40567; 42; percentage2; 13.5; 42.7
40567; 43; electoral_vote1; 301; 520
40567; 43; popular_vote1; 31785480; 47168710
40567; 43; percentage1; 43.4; 60.7
40567; 43; electoral_vote2; 191; 17
40567; 43; popular_vote2; 31275166; 29173222
40567; 43; percentage2; 13.5; 37.5
40567; 44; percentage2; 13.5; 42.7
40567; 45; percentage2; 13.5; 42.7
40567; 46; popular_vote1; 31785480; 317837
40567; 46; percentage2; 13.5; 42.7
40567; 47; percentage2; 13.5; 42.7
40567; 48; percentage2; 13.5; 42.7
40567; 49; turnout; 62.5; 60.8
40567; 49; percentage2; 13.5; 42.7
40567; 50; turnout; 62.5; 60.8
40567; 50; percentage2; 13.5; 42.72
40567; 51; turnout; 62.5; 60.8
40567; 51; percentage2; 13.5; 42.7
40567; 52; turnout; 62.5; 60.8
40567; 52; percentage2; 13.5; 42.7
40567; 53; turnout; 62.5; 60.8
40567; 53; percentage2; 13.5; 42.7
40567; 54; type; presidential; Supreme Leader
40567; 54; turnout; 62.5; 60.8
40567; 54; percentage2; 13.5; 42.7
40567; 55; turnout; 62.5; 60.8
40567; 55; percentage2; 13.5; 42.7
40567; 56; turnout; 62.5; 60.9
40567; 56; percentage2; 13.5; 42.7
40567; 57; turnout; 62.5; 60.9
